#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","NumCpu","MemoryGB","HardDiskSizeGB","Cluster"
"bo3uphssmweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upinexweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upinexweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uplsngweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3uplsngweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3udmcudweb02","2","8","120","BO3_VXR_Core_NonProd"
"bo3udmcudweb01","2","8","90","BO3_VXR_Core_NonProd"
"bo3uphelpweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uphelpweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upvislweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3uphelpweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3uphelpweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upjenkweb01","2","4","560","BO3_VXR_Core_Prod"
"bo3upjenkweb02","2","4","570","BO3_VXR_Core_NonProd"
"bo3upchmbweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upchmbweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uppmrkweb04","4","8","120","BO3_VXR_Core_Prod"
"bo3uppmrkweb05","4","8","120","BO3_VXR_Core_Prod"
"bo3uppmrkweb06","4","8","120","BO3_VXR_Core_Prod"
"bo3uppmrkweb01","4","8","60","BO3_VXR_Core_Prod"
"bo3uppmrkweb02","4","8","60","BO3_VXR_Core_Prod"
"bo3uppmrkweb03","4","8","60","BO3_VXR_Core_Prod"
"bo3upwrapsweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3udwrapsweb01","4","8","120","BO3_VXR_Core_Prod"
"bo3upwrapsweb03","2","4","60","BO3_VXR_Core_Prod"
"bo3upwrapsweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uplsngweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3uplsngweb01","2","4","60","BO3_VXR_Core_Prod"
"bo3upmm3dweb02","2","4","60","BO3_VXR_Core_Prod"
"bo3upmm3dweb01","2","4","60","BO3_VXR_Core_Prod"
"BO3WPLPEAPP001","8","16","170","BO3_VXR_Core_Prod"
"BO3WPLPEDBS001","8","16","180","BO3_VXR_Core_Prod"
"bo3wpilnwapp02","2","8","135","BO3_VXR_Core_Prod"
